txn_id,txn_timestamp,debit_account,credit_account,upi_handle_sender,upi_handle_receiver,amount_inr,txn_type,bank_ref,narration,balance_after
TXN202403100100,2024-03-10 21:00:00,AXIS-SURESH-9201,MERCHANT-STORE-17,victim.suresh@okaxis,merchant26@paytm,250.87,UPI,REF696940,Grocery Purchase,99749.13
TXN202403100101,2024-03-11 02:00:00,EMPLOYER-ACC-36,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,1419.65,NEFT,REF242313,Reimbursement,101168.78
TXN202403100102,2024-03-11 07:00:00,EMPLOYER-ACC-68,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,2393.24,NEFT,REF879380,Reimbursement,103562.02
TXN202403100103,2024-03-11 17:00:00,AXIS-SURESH-9201,MERCHANT-STORE-95,victim.suresh@okaxis,merchant18@paytm,2128.79,UPI,REF944210,Grocery Purchase,101433.23
TXN202403100104,2024-03-11 23:00:00,EMPLOYER-ACC-89,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,1546.53,NEFT,REF554906,Reimbursement,102979.76
TXN202403100105,2024-03-12 07:00:00,AXIS-SURESH-9201,MERCHANT-STORE-15,victim.suresh@okaxis,merchant36@paytm,2304.31,UPI,REF622835,Grocery Purchase,100675.45
TXN202403100106,2024-03-12 12:00:00,AXIS-SURESH-9201,MERCHANT-STORE-55,victim.suresh@okaxis,merchant18@paytm,280.05,UPI,REF467993,Grocery Purchase,100395.4
TXN202403100107,2024-03-12 23:00:00,EMPLOYER-ACC-25,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,2220.36,NEFT,REF458314,Reimbursement,102615.76
TXN202403100108,2024-03-13 05:00:00,AXIS-SURESH-9201,MERCHANT-STORE-92,victim.suresh@okaxis,merchant25@paytm,1221.11,UPI,REF623869,Grocery Purchase,101394.65
TXN202403100109,2024-03-13 14:00:00,EMPLOYER-ACC-95,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,1516.24,NEFT,REF801597,Reimbursement,102910.89
TXN202403100110,2024-03-14 02:00:00,EMPLOYER-ACC-56,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,393.03,NEFT,REF214010,Reimbursement,103303.92
TXN202403100111,2024-03-14 07:00:00,AXIS-SURESH-9201,MERCHANT-STORE-21,victim.suresh@okaxis,merchant44@paytm,1821.97,UPI,REF335466,Grocery Purchase,101481.95
TXN202403100112,2024-03-14 18:00:00,EMPLOYER-ACC-22,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,1597.01,NEFT,REF692458,Reimbursement,103078.96
TXN202403100113,2024-03-15 04:00:00,EMPLOYER-ACC-43,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,918.0,NEFT,REF970640,Reimbursement,103996.96
TXN202403100114,2024-03-15 08:00:00,EMPLOYER-ACC-67,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,2050.11,NEFT,REF179945,Reimbursement,106047.07
TXN202403100115,2024-03-15 14:00:00,AXIS-SURESH-9201,MERCHANT-STORE-89,victim.suresh@okaxis,merchant9@paytm,525.43,UPI,REF254648,Grocery Purchase,105521.64
TXN202403100116,2024-03-16 00:00:00,AXIS-SURESH-9201,MERCHANT-STORE-71,victim.suresh@okaxis,merchant7@paytm,2041.75,UPI,REF461297,Grocery Purchase,103479.89
TXN202403100117,2024-03-16 06:00:00,EMPLOYER-ACC-96,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,2474.52,NEFT,REF699699,Reimbursement,105954.41
TXN202403100118,2024-03-16 18:00:00,AXIS-SURESH-9201,MERCHANT-STORE-61,victim.suresh@okaxis,merchant36@paytm,2177.1,UPI,REF790287,Grocery Purchase,103777.31
TXN202403100119,2024-03-17 05:00:00,EMPLOYER-ACC-27,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,1525.6,NEFT,REF776218,Reimbursement,105302.91
TXN202403100120,2024-03-17 14:00:00,AXIS-SURESH-9201,MERCHANT-STORE-71,victim.suresh@okaxis,merchant29@paytm,2210.69,UPI,REF650439,Grocery Purchase,103092.22
TXN202403100121,2024-03-17 20:00:00,AXIS-SURESH-9201,MERCHANT-STORE-72,victim.suresh@okaxis,merchant10@paytm,1440.21,UPI,REF711582,Grocery Purchase,101652.01
TXN202403100122,2024-03-18 02:00:00,EMPLOYER-ACC-43,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,2300.8,NEFT,REF455506,Reimbursement,103952.81
TXN202403100123,2024-03-18 13:00:00,AXIS-SURESH-9201,MERCHANT-STORE-42,victim.suresh@okaxis,merchant14@paytm,1527.83,UPI,REF207610,Grocery Purchase,102424.98
TXN202403100124,2024-03-18 17:00:00,EMPLOYER-ACC-74,AXIS-SURESH-9201,salary@company,victim.suresh@okaxis,1633.33,NEFT,REF487192,Reimbursement,104058.31
TXN202403159901,2024-03-15 14:33:07,AXIS-SURESH-9201,HDFC-MULE1-3847,victim.suresh@okaxis,fastpay99@okhdfcbank,95000.0,UPI,UPI/407514920192/PAY,UPI-FASTPAY-TRANSFER,2341.5
TXN202403159902,2024-03-15 14:35:22,HDFC-MULE1-3847,SBI-MULE2-7731,fastpay99@okhdfcbank,cashout.agent@oksbi,94500.0,IMPS,IMPS/407514923481/CASHOUT,IMPS-TRANSFER-MULE2,500.0
TXN202403159903,2024-03-15 14:38:49,SBI-MULE2-7731,CASH-ATM-KORAMANGALA,cashout.agent@oksbi,atm.withdrawal@sbi,93800.0,ATM_WITHDRAWAL,ATM/BLR/KOR/92018,ATM Cash Withdrawal Koramangala,700.0
TXN202403159904,2024-03-15 14:39:01,CASH-ATM-KORAMANGALA,DISPENSED_CASH,atm.withdrawal@sbi,cash.handover@mule2,93800.0,CASH_OUT,ATM/BLR/KOR/92019,Physical Cash Dispensed,0.0
TXN202403110500,2024-03-11 13:00:00,ACC-3775,ACC-4459,user0@okicici,shop0@okaxis,1307.0,UPI,REF740861,General Transfer,15000.0
TXN202403110501,2024-03-11 16:00:00,ACC-8020,ACC-4732,user1@okicici,shop1@okaxis,981.0,UPI,REF832634,General Transfer,15000.0
TXN202403110502,2024-03-11 19:00:00,ACC-7256,ACC-9011,user2@okicici,shop2@okaxis,1183.0,UPI,REF658688,General Transfer,15000.0
TXN202403110503,2024-03-11 22:00:00,ACC-7834,ACC-3153,user3@okicici,shop3@okaxis,1428.0,UPI,REF927213,General Transfer,15000.0
TXN202403110504,2024-03-12 01:00:00,ACC-8039,ACC-8808,user4@okicici,shop4@okaxis,523.0,UPI,REF852507,General Transfer,15000.0
TXN202403110505,2024-03-12 04:00:00,ACC-1534,ACC-3867,user5@okicici,shop5@okaxis,664.0,UPI,REF435159,General Transfer,15000.0
TXN202403110506,2024-03-12 07:00:00,ACC-3331,ACC-8891,user6@okicici,shop6@okaxis,164.0,UPI,REF795208,General Transfer,15000.0
TXN202403110507,2024-03-12 10:00:00,ACC-2463,ACC-8859,user7@okicici,shop7@okaxis,398.0,UPI,REF981247,General Transfer,15000.0
TXN202403110508,2024-03-12 13:00:00,ACC-8313,ACC-6104,user8@okicici,shop8@okaxis,1168.0,UPI,REF262126,General Transfer,15000.0
TXN202403110509,2024-03-12 16:00:00,ACC-8497,ACC-5185,user9@okicici,shop9@okaxis,961.0,UPI,REF723602,General Transfer,15000.0
